,0.0,1.0,Difference,Percent Difference
Sex,0.4413544750089557,0.5726076863554295,-0.13125321134647377,-29.738729021340603
Education_Level,5.026659627821037,4.8023600722207895,0.22429955560024784,4.462198999089132
Household_Income,45.42794924489527,36.2348465308228,9.193102714072467,20.23666678087058
Veteran,0.12933124681837893,0.280693835439773,-0.15136258862139407,-117.03481745131086
Age,53.87948113652218,67.52037657982977,-13.640895443307592,-25.317421689239538
High_Blood_Pressure,0.38785422047927,0.7758576218725819,-0.3880034013933119,-100.03846314057316
Blood_Pressure_Meds,0.3018646656234092,0.7186613360846015,-0.4167966704611923,-138.07401724227185
High_Cholesterol,0.3479703614321537,0.7168558163528501,-0.3688854549206964,-106.01059624804302
Heart_Attack,0.027179999622918984,0.48046169718854786,-0.45328169756562886,-1667.703104688082
Stroke,0.0286996361168197,0.15791849368068095,-0.12921885756386126,-450.2456304250188
Asthma_(ever),0.126141141424235,0.18358266701057518,-0.05744152558634019,-45.537502624266075
Asthma_(currently),0.08518637229208695,0.14244261026566934,-0.0572562379735824,-67.21290792529851
Skin_Cancer,0.08915326457889478,0.18422749548620068,-0.0950742309073059,-106.64133428694747
Cancer_(not skin),0.08993382228171723,0.1798426618519474,-0.08990883957023016,-99.97222100556472
COPD_emphasema_chronic_bronchitis,0.06375308735081732,0.24954862006706216,-0.18579553271624483,-291.42985922212426
Arthritis_RA_gout_lupus_fibromyalgia,0.3078564829653651,0.6002063451122002,-0.29234986214683506,-94.96303580513697
Depression,0.1866513320386885,0.28849625999484135,-0.10184492795615285,-54.564265276736826
Kidney_Disease,0.028137785403193876,0.12632189837503224,-0.09818411297183836,-348.94044277092837
Diabetes,0.12658609702294538,0.3609749806551457,-0.23438888363220034,-185.161632394523
Smoker,0.8186240313731405,1.0105107041526953,-0.19188667277955473,-23.440146566145703
Days_at_least_1_drink_recently,3.822771922547559,3.089953572349755,0.7328183501978041,19.1698161712311
Binge_Drinking_last_30_days,0.3907124945794604,0.18351818416301263,0.20719431041644776,53.02986551260904
Chewing_tobacco,0.052044721808480555,0.04223626515346918,0.009808456655011379,18.846208249715566
Any_Excercise,0.7618016930937612,0.6436033015217952,0.11819839157196599,15.51563781539382
Strength_Excercise,0.2916947906257659,0.2229172040237297,0.06877758660203623,23.578613267137648
Aerobic_Excercise,0.5409604253473859,0.47130513283466596,0.0696552925127199,12.87622703046895
Daily_Fruit_Juice,0.34610663851128415,0.3919860717049265,-0.04587943319364235,-13.255866281844387
Daily_Fruits,1.0137030864081147,0.9042655403662626,0.10943754604185207,10.795818569481277
Daily_Beans,0.2813727634382247,0.2739366778436936,0.007436085594531128,2.6427879883134877
Daily_Green_Veg,0.5812289824468787,0.4925251483105494,0.08870383413632932,15.26142653157121
Daily_Orange_Veg,0.2951795094175984,0.27842403920557135,0.016755470212027057,5.676366305061725
Daily_Other_Veg,0.8114000641037726,0.7760820221820995,0.03531804192167309,4.352728510156508
BMI,28.09655593054168,29.51445125096724,-1.4178953204255613,-5.046509344172937
Has_Health_Coverage,0.9319180225871528,0.9662109878772247,-0.034292965290071864,-3.6798263858948808
Could_not_afford_to_see_doctor,0.09238484888478289,0.10729945834408047,-0.014914609459297581,-16.14399941044254
General_Health_Self_Rating,2.4238315202021155,3.405726076863554,-0.9818945566614388,-40.51001682573885
Poor_Mental_Health,3.1107486943569826,4.667461955119938,-1.5567132607629555,-50.043041522026286
Poor_Physical_Health,3.638888365165256,9.335052875935002,-5.696164510769746,-156.5358411458457
Kept_from_doing_activities,2.284503855653387,6.025664173329894,-3.741160317676507,-163.76248647680677
Limited_Activities,0.2176587039725485,0.5167655403662625,-0.29910683639371405,-137.42011274285542
Uses_Special_Equipment,0.08859141386526895,0.2961697188547846,-0.20757830498951566,-234.30973266235893
Difficulty_Concentrating,0.08068025415260469,0.1734588599432551,-0.09277860579065042,-114.99543074710945
Difficulty_walking_climbing_stairs,0.13698599144026094,0.42139540882125354,-0.28440941738099257,-207.61934442400442
Difficulty_Dressing,0.03242896736363808,0.10755738973433067,-0.07512842237069259,-231.67072058832346
Difficulty_Alone,0.05847395312882973,0.18068093887026052,-0.1222069857414308,-208.99388394724153
Black_(Non-Hispanic),0.07310846735421105,0.0649342274954862,0.008174239858724841,11.180975548455407
Hispanic,0.04369237730726447,0.03249935517152437,0.011193022135740097,25.617791536097307
Multiracial_(Non-Hispanic),0.07813118648541639,0.052618003611039466,0.025513182874376927,32.654288283640874
Other_race_only,0.019393276645487283,0.018764508640701574,0.0006287680047857083,3.2421958201272782
White_(Non-Hispanic),0.7856746922076208,0.8311839050812484,-0.045509212873627636,-5.792373526217829
