,0.0,1.0,Difference,Percent Difference
Sex,0.46151862229047724,0.31536290322580646,0.14615571906467079,31.66843373281722
Education_Level,5.02432171565007,4.910524193548387,0.11379752210168359,2.2649330306063
Household_Income,45.52170158224015,38.71189516129032,6.809806420949826,14.95947248071809
Veteran,0.14183108443433645,0.095,0.04683108443433645,33.01891445102632
Age,54.69881165910521,53.95504032258064,0.7437713365245671,1.3597577606619873
High_Blood_Pressure,0.4012027994982474,0.49274193548387096,-0.09153913598562358,-22.816175784442265
Blood_Pressure_Meds,0.3179134281348792,0.3968951612903226,-0.07898173315544338,-24.84378644173982
High_Cholesterol,0.3622818020890728,0.4309677419354839,-0.06868593984641108,-18.959257531109316
Heart_Attack,0.04976104226992259,0.07762096774193548,-0.027859925472012895,-55.98742349665867
Angina/Heart_Disease,0.05196891009484062,0.08907258064516128,-0.03710367055032066,-71.39589897615392
Stroke,0.03318835652571482,0.06318548387096774,-0.029997127345252922,-90.38449168765169
Asthma_(ever),0.04493499490041149,1.0,-0.9550650050995885,-2125.4369945212625
Skin_Cancer,0.09377381273373114,0.1009274193548387,-0.007153606621107561,-7.628576051845181
Cancer_(not skin),0.09222244366029315,0.12254032258064516,-0.03031787892035201,-32.874729531164576
COPD_emphasema_chronic_bronchitis,0.05348510959230646,0.28588709677419355,-0.2324019871818871,-434.51717487986014
Arthritis_RA_gout_lupus_fibromyalgia,0.3085778595796063,0.4832258064516129,-0.17464794687200658,-56.59769210595332
Depression,0.17657081003348926,0.35435483870967743,-0.17778402867618817,-100.6871003437481
Kidney_Disease,0.031195413887293234,0.057983870967741935,-0.0267884570804487,-85.87306190978408
Diabetes,0.13280031887082214,0.20903225806451614,-0.076231939193694,-57.40343083652271
Smoker,0.8166453695345502,0.9590322580645161,-0.14238688852996584,-17.43558389501672
Days_at_least_1_drink_recently,3.8560157559700357,3.021491935483871,0.8345238204861647,21.642126829853378
Binge_Drinking_last_30_days,0.38602126587027114,0.30955645161290324,0.0764648142573679,19.808446067078897
Chewing_tobacco,0.05212131159071992,0.04512096774193548,0.007000343848784438,13.43086663619346
Any_Excercise,0.7615893522154878,0.6900806451612903,0.07150870705419754,9.389404781747068
Strength_Excercise,0.29092273244158917,0.2566532258064516,0.03426950663513756,11.7795905282232
Aerobic_Excercise,0.543561427572166,0.4705645161290323,0.0729969114431337,13.429376651904215
Daily_Fruit_Juice,0.3477178071378608,0.35817096774193546,-0.01045316060407464,-3.0062195232728595
Daily_Fruits,1.0071350081866957,1.0130431451612905,-0.005908136974594802,-0.5866281011551921
Daily_Beans,0.28142897894905494,0.2761427419354839,0.00528623701357106,1.878355609756872
Daily_Green_Veg,0.5771000339972568,0.5683657258064516,0.008734308190805229,1.513482529243231
Daily_Orange_Veg,0.2943501248519947,0.2932600806451613,0.001090044206833396,0.3703223184911142
Daily_Other_Veg,0.8081016244436369,0.8233504032258064,-0.01524877878216957,-1.8869877650187963
BMI,27.980918355783245,30.176423790322584,-2.1955054345393386,-7.846438085494645
Has_Health_Coverage,0.9331504515382781,0.9406451612903226,-0.0074947097520444705,-0.8031619916905794
Could_not_afford_to_see_doctor,0.08739639629078205,0.15318548387096775,-0.0657890875801857,-75.27665941887888
General_Health_Self_Rating,2.427685490205273,2.9980645161290322,-0.5703790259237591,-23.494766032297317
Poor_Mental_Health,2.9270074989351436,5.980161290322581,-3.0531537913874374,-104.30973588206338
Poor_Physical_Health,3.574026095825371,7.8701209677419355,-4.296094871916564,-120.20323178206793
Kept_from_doing_activities,2.1984033012508646,5.512379032258065,-3.3139757310072,-150.74466678255024
Limited_Activities,0.21567547078385169,0.42516129032258065,-0.20948581953872897,-97.13010885168025
Uses_Special_Equipment,0.08955346361707366,0.20846774193548387,-0.11891427831841021,-132.7857946699661
Difficulty_Concentrating,0.076228102054294,0.18463709677419354,-0.10840899471989954,-142.21657341367947
Difficulty_walking_climbing_stairs,0.13677057322501104,0.31705645161290325,-0.1802858783878922,-131.81627753456223
Difficulty_Dressing,0.031109443812694655,0.09302419354838709,-0.061914749735692436,-199.02236153263283
Difficulty_Alone,0.056701171928426004,0.15318548387096775,-0.09648431194254176,-170.16281791200734
Black_(Non-Hispanic),0.07099565069577145,0.0897983870967742,-0.018802736401002745,-26.484349698512798
Hispanic,0.04311790014185062,0.04262096774193548,0.0004969323999151412,1.152496754898354
Multiracial_(Non-Hispanic),0.07687287761378335,0.07516129032258065,0.0017115872912027014,2.2265164832281665
Other_race_only,0.0183936882334322,0.02931451612903226,-0.01092082789560006,-59.372692181171494
White_(Non-Hispanic),0.7906198833151624,0.7631048387096774,0.02751504460548504,3.4801862672756485
