,0.0,1.0,Difference,Percent Difference
Sex,0.45314050922185545,0.3918756317081388,0.06126487751371662,13.520061938166208
Education_Level,5.0488869909127985,4.581171487702748,0.4677155032100506,9.263734840012559
Household_Income,46.11468264044382,29.97497232516725,16.139710315276567,34.99907055875867
Veteran,0.13349183998522657,0.19025845887279202,-0.056766618887565456,-42.52441115041022
Age,53.97885552041735,62.817875535447854,-8.839020015030506,-16.37496743829104
High_Blood_Pressure,0.3920231142709848,0.6253068296674207,-0.2332837153964359,-59.507643020043766
Blood_Pressure_Meds,0.3081492424767049,0.5343408576791645,-0.22619161520245962,-73.40326829443983
High_Cholesterol,0.3537545301355001,0.5509457573278144,-0.19719122719231424,-55.742389254148414
Heart_Attack,0.04295838046213153,0.1681185926745921,-0.12516021221246054,-291.35225971284274
Angina/Heart_Disease,0.04477428191100544,0.18626365692833421,-0.14148937501732878,-316.0059055744475
Stroke,0.02995083215992244,0.10949607739327141,-0.07954524523334897,-265.58609393093724
Asthma_(ever),0.10751136862029963,0.4020792222168744,-0.2945678535965748,-273.9876325422913
Asthma_(currently),0.06813477682109524,0.3412427203157337,-0.27310794349463846,-400.8348691179412
Skin_Cancer,0.09047190354177727,0.14362034942484478,-0.05314844588306751,-58.745802622053944
Cancer_(not skin),0.08780576010095181,0.1836646291572412,-0.09585886905628938,-109.17150417703662
Arthritis_RA_gout_lupus_fibromyalgia,0.3000469364357548,0.6237666650623286,-0.3237197286265738,-107.88969634952022
Depression,0.17675415310511453,0.3864850555903162,-0.20973090248520168,-118.65684556813558
Kidney_Disease,0.028977478205335364,0.09091784184434712,-0.06194036363901176,-213.75346467384188
Diabetes,0.1288174326539092,0.27361986812340566,-0.14480243546949648,-112.40903694962918
Smoker,0.7608357763363419,1.6847956875391057,-0.9239599112027638,-121.440124129272
Days_at_least_1_drink_recently,3.8625339519709456,2.778360687298455,1.0841732646724904,28.068964005332987
Binge_Drinking_last_30_days,0.3870139962912521,0.28233142417095825,0.10468257212029386,27.04878198811025
Chewing_tobacco,0.05166470456976216,0.04947778793858593,0.0021869166311762264,4.23290261579501
Any_Excercise,0.7700114648015204,0.5708716369061944,0.19913982789532603,25.86193024368237
Strength_Excercise,0.2957995737248294,0.18900707513115464,0.10679249859367476,36.102992728792636
Aerobic_Excercise,0.5489216161522895,0.38937286422486406,0.15954875192742546,29.06585334456226
Daily_Fruit_Juice,0.34740037549148606,0.3641661452567743,-0.016765769765288263,-4.826065527870782
Daily_Fruits,1.0219901433484915,0.8283452856524041,0.1936448576960874,18.947820481088133
Daily_Beans,0.2827892938759493,0.2581012658227848,0.0246880280531645,8.730184836486192
Daily_Green_Veg,0.585114609542716,0.466409972565818,0.11870463697689798,20.287416352442317
Daily_Orange_Veg,0.2971813900879481,0.25762910911103626,0.039552280976911824,13.309137885520588
Daily_Other_Veg,0.8137370251533129,0.7558025701496848,0.05793445500362815,7.119554992930664
BMI,28.068019744081006,29.511871781296627,-1.4438520372156205,-5.144117933435973
Has_Health_Coverage,0.9330040088332833,0.9439283823458632,-0.01092437351257991,-1.1708817335351842
Could_not_afford_to_see_doctor,0.08802505328439633,0.15805939259758386,-0.07003433931318753,-79.5618255258723
General_Health_Self_Rating,2.3970899409832027,3.491264378880493,-1.0941744378972902,-45.64594841395471
Poor_Mental_Health,2.905965544039457,6.834576695384319,-3.928611151344862,-135.19125026802175
Poor_Physical_Health,3.3719943368497187,11.229436396014824,-7.8574420591651055,-233.02061848970692
Kept_from_doing_activities,2.0685733631879843,7.778264427010637,-5.709691063822652,-276.0207186958627
Limited_Activities,0.20595861899155912,0.5872840159792078,-0.38132539698764867,-185.14660801997155
Uses_Special_Equipment,0.08247732046813323,0.3200173268518073,-0.23754000638367406,-288.0064544233738
Difficulty_Concentrating,0.07366712064202889,0.23766665062328537,-0.1639995299812565,-222.62242443026986
Difficulty_walking_climbing_stairs,0.12552034040457669,0.49270828319776677,-0.3671879427931901,-292.5326218919351
Difficulty_Dressing,0.028377307387487206,0.1391923761852048,-0.1108150687977176,-390.50593237954917
Difficulty_Alone,0.05226872263644268,0.22731866968282236,-0.17504994704637966,-334.903816693488
Black_(Non-Hispanic),0.07260912721312988,0.0732540790296963,-0.0006449518165664164,-0.888251713415156
Hispanic,0.04398174865153928,0.03171776483611686,0.012263983815422423,27.884256973473487
Multiracial_(Non-Hispanic),0.07942645214407178,0.04288395822303509,0.03654249392103669,46.00796451886356
Other_race_only,0.0187938105460785,0.02642344900611253,-0.007629638460034029,-40.59654874847094
White_(Non-Hispanic),0.7851888614451805,0.8257207489050392,-0.040531887459858695,-5.1620558377837495
