,0.0,1.0,Difference,Percent Difference
Sex,0.4792660874167512,0.31980805217423525,0.15945803524251595,33.27129530528569
Education_Level,5.03627221805672,4.9218312860133775,0.11444093204334216,2.272334121119052
Household_Income,46.68513209544392,37.50532673744279,9.179805358001126,19.66323098161909
Veteran,0.14362016495390995,0.11279713931039594,0.03082302564351401,21.461488819070514
Age,54.86999073788206,53.63796713171401,1.232023606168056,2.2453504904958383
High_Blood_Pressure,0.3920478101706876,0.4817223426528079,-0.08967453248212026,-22.87336650167189
Blood_Pressure_Meds,0.3136682397565386,0.3720378707872455,-0.05836963103070686,-18.6087157169664
High_Cholesterol,0.3460327261500463,0.46210142108091085,-0.11606869493086452,-33.54269297654088
Heart_Attack,0.04706920125259119,0.07387026846756711,-0.026801067214975924,-56.93971110992776
Angina/Heart_Disease,0.048665813963745426,0.0828932985011024,-0.034227484537356974,-70.33167998146588
Stroke,0.030088651700260222,0.059992959442684304,-0.029904307742424082,-99.38733061330713
Asthma_(ever),0.10740087328540555,0.22136994423137496,-0.1139690709459694,-106.11559055307642
Asthma_(currently),0.0706214440082918,0.16282215181664905,-0.09220070780835725,-130.55624832243842
Skin_Cancer,0.09367529660830062,0.0974746632575547,-0.0037993666492540795,-4.0558896388030385
Cancer_(not skin),0.08992193357738279,0.11581716784318084,-0.025895234265798053,-28.79746157094562
COPD_emphasema_chronic_bronchitis,0.05622105588144489,0.14877809275007875,-0.09255703686863387,-164.63055596787763
Arthritis_RA_gout_lupus_fibromyalgia,0.28445287346182685,0.49017101143164177,-0.20571813796981492,-72.3206397833847
Kidney_Disease,0.027332068980725974,0.05973357048894818,-0.03240150150822221,-118.5475623198196
Diabetes,0.12701892118378688,0.19211457580642172,-0.06509565462263484,-51.24878562654952
Smoker,0.74829532924624,1.169195708965594,-0.420900379719354,-56.24789615395945
Days_at_least_1_drink_recently,3.8949984563136772,3.3088025494228597,0.5861959068908176,15.049965063288056
Binge_Drinking_last_30_days,0.38072597362501653,0.37313100994941917,0.007594963675597366,1.9948635506223105
Chewing_tobacco,0.05315573589732281,0.04455931669538473,0.008596419201938078,16.172138447190676
Any_Excercise,0.7734397741807436,0.6789505864043133,0.09448918777643034,12.216747952549612
Strength_Excercise,0.3010541172319499,0.23261630815407705,0.06843780907787286,22.732726496859144
Aerobic_Excercise,0.5579985004190006,0.44937283456543087,0.1086256658535697,19.46701752280746
Daily_Fruit_Juice,0.3535742072068099,0.3279193300353881,0.025654877171421786,7.255867834390966
Daily_Fruits,1.0210172451814934,0.9515331739944046,0.06948407118708877,6.805376845004949
Daily_Beans,0.2818450138931769,0.277252329868638,0.0045926840245388845,1.6295069269096862
Daily_Green_Veg,0.586198959114365,0.5348639134382006,0.051335045676164426,8.757273427049734
Daily_Orange_Veg,0.29810810214792927,0.2780627350712393,0.02004536707668997,6.724193986093983
Daily_Other_Veg,0.8116895426277951,0.8000361291756989,0.01165341345209625,1.4356983600366513
BMI,27.84095655625634,29.577681062753598,-1.7367245064972572,-6.238020245417844
Has_Health_Coverage,0.9350681427248269,0.928538343245697,0.006529799479129905,0.6983233820908284
Could_not_afford_to_see_doctor,0.07369999558946765,0.17516165490152483,-0.10146165931205718,-137.6684740623742
General_Health_Self_Rating,2.357072288625237,2.9864006077112633,-0.6293283190860262,-26.69957650951308
Poor_Mental_Health,1.707339125832488,9.453486002260389,-7.746146876427901,-453.6970282720445
Poor_Physical_Health,3.015626516120496,7.893761695662646,-4.87813517954215,-161.76191426442657
Kept_from_doing_activities,1.54942001499581,6.4473903618475905,-4.89797034685178,-316.116372542472
Limited_Activities,0.17883826577867948,0.4666777833361125,-0.287839517557433,-160.94962468135736
Uses_Special_Equipment,0.07832664402593394,0.19135493672762308,-0.11302829270168914,-144.3037603708203
Difficulty_Concentrating,0.03800996780311384,0.28658773831360124,-0.2485777705104874,-653.9804816412486
Difficulty_walking_climbing_stairs,0.11694526529352092,0.3028921868341578,-0.18594692154063688,-159.0033774124405
Difficulty_Dressing,0.022193798791514136,0.09701146869731161,-0.07481766990579748,-337.11069749088756
Difficulty_Alone,0.03897146385568738,0.17551368276730958,-0.13654221891162222,-350.36461400896457
Black_(Non-Hispanic),0.07568914567988357,0.05991884831304541,0.015770297366838153,20.83561285463093
Hispanic,0.04621355797644776,0.02988531302688381,0.016328244949563947,35.332152867099005
Multiracial_(Non-Hispanic),0.0788559079080845,0.0677561002723584,0.0110998076357261,14.07606345572
Other_race_only,0.018449256825298813,0.023178255794563948,-0.004728998969265135,-25.632463215431127
White_(Non-Hispanic),0.7807921316102854,0.8192614825931485,-0.03846935098286308,-4.926964479460736
