,0.0,1.0,Difference,Percent Difference
Sex,0.44466847454820213,0.4728860294117647,-0.02821755486356259,-6.345751155899359
Education_Level,5.058095100089014,4.744000204248366,0.31409489584064776,6.209746745076426
Household_Income,46.375142318918584,35.947074142156865,10.42806817676172,22.48633137349451
Veteran,0.12796903140331628,0.19766135620915032,-0.06969232480583404,-54.46030499847011
Age,53.23578777402861,63.24982128267974,-10.014033508651131,-18.8107172399852
High_Blood_Pressure,0.355037572194506,0.7438470179738562,-0.3888094457793502,-109.51219708271958
Blood_Pressure_Meds,0.2687229594054692,0.6712622549019608,-0.4025392954964916,-149.79713545395663
High_Cholesterol,0.32415177924524397,0.640905841503268,-0.31675406225802405,-97.71782311223318
Heart_Attack,0.038975717804873,0.13391033496732027,-0.09493461716244728,-243.57374927057256
Angina/Heart_Disease,0.041029250419193905,0.14292279411764705,-0.10189354369845315,-248.34366374577073
Stroke,0.027784793094168547,0.08550347222222222,-0.057718679128053674,-207.73478115324755
Asthma_(ever),0.12170906907901546,0.1762152777777778,-0.054506208698762326,-44.78401577730911
Asthma_(currently),0.08121390274701389,0.1323529411764706,-0.051139038429456704,-62.968330174647356
Skin_Cancer,0.09069907052808082,0.1172640931372549,-0.02656502260917408,-29.28918946412955
Cancer_(not skin),0.08709296789285197,0.14305044934640523,-0.05595748145355327,-64.25028657008932
COPD_emphasema_chronic_bronchitis,0.062483698014780466,0.1451439950980392,-0.08266029708325875,-132.29098102309106
Arthritis_RA_gout_lupus_fibromyalgia,0.29226820129587844,0.5197354983660131,-0.22746729707013463,-77.82827418842515
Depression,0.1805287018444532,0.2647314133986928,-0.08420271155423964,-46.64228496296962
Kidney_Disease,0.024178690458939698,0.0914266748366013,-0.06724798437766161,-278.12914223730303
Smoker,0.8199308588817356,0.8865400326797386,-0.06660917379800302,-8.123754957686076
Days_at_least_1_drink_recently,4.058765810338047,2.0773335375816995,1.9814322727563471,48.818590806827494
Binge_Drinking_last_30_days,0.4122342517647546,0.17595996732026145,0.23627428444449314,57.31553926754377
Chewing_tobacco,0.05211253027511541,0.04774305555555555,0.004369474719559854,8.384691160633109
Any_Excercise,0.7742935806404869,0.6379697712418301,0.13632380939865685,17.606217177455008
Strength_Excercise,0.3036744157161488,0.19058925653594772,0.11308515918020107,37.23894846838341
Aerobic_Excercise,0.5528970956590142,0.43977226307189543,0.1131248325871188,20.460377432853395
Daily_Fruit_Juice,0.35473070155464015,0.3110904309640523,0.04364027059058784,12.302366386481438
Daily_Fruits,1.020295443724512,0.929720179738562,0.09057526398594995,8.877356509141288
Daily_Beans,0.2825333388535823,0.2712717013888889,0.011261637464693386,3.985949945018532
Daily_Green_Veg,0.5893790547953713,0.49584941789215686,0.09352963690321447,15.869182344066735
Daily_Orange_Veg,0.29789339019189764,0.2718098958333333,0.02608349435856433,8.755982917835741
Daily_Other_Veg,0.8183316289564659,0.7546719260620915,0.06365970289437439,7.779205965135803
BMI,27.591523257498913,31.772306219362743,-4.18078296186383,-15.152418091768686
Has_Health_Coverage,0.930374479889043,0.9550142973856209,-0.024639817496577954,-2.648376329015013
Could_not_afford_to_see_doctor,0.09058314529985302,0.10940053104575163,-0.018817385745898613,-20.77360604294356
General_Health_Self_Rating,2.3554474506800256,3.234298406862745,-0.8788509561827196,-37.311422758720106
Poor_Mental_Health,3.0057797006645,4.374412785947713,-1.3686330852832125,-45.533379741058305
Poor_Physical_Health,3.370873786407767,7.546951593137255,-4.176077806729488,-123.88710083327685
Kept_from_doing_activities,2.118579087916865,4.788960375816994,-2.670381287900129,-126.04586267892574
Limited_Activities,0.20560167263543586,0.41043709150326796,-0.2048354188678321,-99.6273115107568
Uses_Special_Equipment,0.07807564121141863,0.23562602124183007,-0.15755038003041144,-201.79197709537294
Difficulty_Concentrating,0.07502846378371665,0.15226715686274508,-0.07723869307902843,-102.94585439158554
Difficulty_walking_climbing_stairs,0.12047529343573395,0.35140931372549017,-0.23093402028975624,-191.68579191960643
Difficulty_Dressing,0.028492765023702567,0.08644812091503268,-0.05795535589133011,-203.40376177292092
Difficulty_Alone,0.05305649284782744,0.14026756535947713,-0.0872110725116497,-164.37398672728293
Black_(Non-Hispanic),0.06572546421843625,0.11540032679738563,-0.049674862578949375,-75.5793255622459
Hispanic,0.04230442792969963,0.047819648692810454,-0.005515220763110826,-13.036982256977621
Multiracial_(Non-Hispanic),0.07463514604508663,0.08958843954248366,-0.014953293497397033,-20.035190241825
Other_race_only,0.0189206533214648,0.022058823529411766,-0.003138170207946968,-16.585950572789297
White_(Non-Hispanic),0.7984143084853127,0.7251327614379085,0.0732815470474042,9.178385991907891
