,0.0,1.0,Difference,Percent Difference
Sex,0.44012268647291425,0.6025649771471451,-0.16244229067423083,-36.908411146905905
Education_Level,5.033359143600307,4.6677808854628555,0.36557825813745115,7.263106957155396
Household_Income,45.54688322232413,33.543897946653935,12.002985275670191,26.353033240674318
Veteran,0.12901249417389604,0.2952452418309571,-0.16623274765706103,-128.85011542602672
Age,53.956931936070724,66.90476840166451,-12.947836465593788,-23.996613597182748
High_Blood_Pressure,0.3908751935770023,0.7435022852854901,-0.3526270917084878,-90.21475332867867
Blood_Pressure_Meds,0.30532167611372557,0.6800600313800396,-0.374738355266314,-122.7355882609305
High_Cholesterol,0.3517087399076844,0.6703731496009278,-0.31866440969324333,-90.60463205346717
Angina/Heart_Disease,0.030284464223962953,0.5082884234940992,-0.4780039592701362,-1578.3801084778966
Stroke,0.027311271819698998,0.1905996316256225,-0.1632883598059235,-597.8790035261094
Asthma_(ever),0.1269150967509134,0.1728630875230234,-0.04594799077211001,-36.20372355094102
Asthma_(currently),0.08598201801205815,0.13131864383655092,-0.04533662582449277,-52.72803182885838
Skin_Cancer,0.09038354557892679,0.1674056893376083,-0.07702214375868151,-85.21699748039036
Cancer_(not skin),0.09055644930913684,0.17374991472815335,-0.08319346541901651,-91.8691777931962
COPD_emphasema_chronic_bronchitis,0.06496669723805085,0.23828364827068696,-0.1733169510326361,-266.77814695977
Arthritis_RA_gout_lupus_fibromyalgia,0.3103734720572537,0.571457807490279,-0.2610843354330253,-84.11941062568124
Depression,0.18788621431041483,0.2719830820656252,-0.08409686775521039,-44.75946682084422
Kidney_Disease,0.029220730405496834,0.11235418514223344,-0.08313345473673661,-284.50163148932796
Diabetes,0.12750898347641743,0.35780066853127773,-0.2302916850548603,-180.60820404662107
Smoker,0.8095578175038716,1.1861654955999728,-0.3766076780961012,-46.52017063553341
Days_at_least_1_drink_recently,3.8313361699568493,2.8920799508834163,0.939256219073433,24.515108500228823
Binge_Drinking_last_30_days,0.3889995639818977,0.20260590763353573,0.186393656348362,47.91616073817397
Chewing_tobacco,0.0514726887281803,0.05204993519339655,-0.000577246465216244,-1.1214616517598248
Any_Excercise,0.7619980153658793,0.6331946244627874,0.1288033909030919,16.903376164470185
Strength_Excercise,0.2921697162875314,0.21031448257043456,0.08185523371709685,28.01633063042752
Aerobic_Excercise,0.5411849167806829,0.4631966709871069,0.07798824579357605,14.410646597007998
Daily_Fruit_Juice,0.34545560132910347,0.40645883075243877,-0.0610032294233353,-17.65877559623636
Daily_Fruits,1.015544684337929,0.864504400027287,0.15104028431064198,14.87283490722131
Daily_Beans,0.28143844627204523,0.272313936830616,0.00912450944142923,3.2420977170294836
Daily_Green_Veg,0.5819629083910932,0.47406780817245375,0.10789510021863946,18.539858582556146
Daily_Orange_Veg,0.2954704484972411,0.2721734088273416,0.02329703966989949,7.884727487431631
Daily_Other_Veg,0.8122868773586324,0.7579418787093254,0.054344998649306975,6.690370134505219
BMI,28.112244252830358,29.311845964936214,-1.1996017121058564,-4.267185861495493
Has_Health_Coverage,0.9325976154320338,0.9558632921754554,-0.023265676743421615,-2.4947175886401545
Could_not_afford_to_see_doctor,0.09184570973222475,0.11794801828228392,-0.02610230855005917,-28.41973634496395
General_Health_Self_Rating,2.427902903279157,3.388703185756191,-0.9608002824770341,-39.57325810597141
Poor_Mental_Health,3.116067267068605,4.661095572685722,-1.5450283056171172,-49.58263648366552
Poor_Physical_Health,3.66545007592729,9.182891056688725,-5.517440980761434,-150.52560712794934
Kept_from_doing_activities,2.2969471215287696,6.016508629510881,-3.719561507982111,-161.93500812968207
Limited_Activities,0.21978319375742358,0.4955317552356914,-0.27574856147826776,-125.46389774580015
Uses_Special_Equipment,0.0895002330441581,0.2916979330104373,-0.20219769996627918,-225.91862958224675
Difficulty_Concentrating,0.08082873509645021,0.17613752643427247,-0.09530879133782226,-117.91449071186564
Difficulty_walking_climbing_stairs,0.1381651155447971,0.4164676990244901,-0.278302583479693,-201.42753283440732
Difficulty_Dressing,0.03252469516320609,0.1101712258680674,-0.0776465307048613,-238.73100213618534
Difficulty_Alone,0.059009036099291846,0.17804761579916775,-0.11903857969987591,-201.72940886472887
Black_(Non-Hispanic),0.07298416803235555,0.06671669281669963,0.006267475215655918,8.587444900210965
Hispanic,0.043481529371081476,0.03567774063715124,0.007803788733930235,17.94736488528471
Multiracial_(Non-Hispanic),0.07804348152937109,0.05273210996657344,0.025311371562797648,32.432396744463404
Other_race_only,0.01916976139285231,0.022784637424108058,-0.0036148760312557475,-18.857178016851062
White_(Non-Hispanic),0.7863210596743396,0.8220888191554676,-0.03576775948112798,-4.548747492015723
