,0.0,1.0,Difference,Percent Difference
Sex,0.44479412123381706,0.4851698113207547,-0.04037569008693764,-9.077388427468257
Education_Level,5.001148688253089,5.14011320754717,-0.13896451929408116,-2.77865202489354
Household_Income,44.70195080309831,47.012264150943395,-2.3103133478450815,-5.168260682898324
Veteran,0.12696939060514628,0.24056603773584906,-0.11359664713070278,-89.46774225606035
Age,53.30323796335999,67.38988679245283,-14.086648829092837,-26.427379212452028
High_Blood_Pressure,0.395211700884726,0.5443396226415095,-0.14912792175678347,-37.733680815356365
Blood_Pressure_Meds,0.3092567750970681,0.4748679245283019,-0.16561114943123378,-53.551340752115294
High_Cholesterol,0.35273383870371317,0.5181509433962264,-0.1654171046925132,-46.89572888737195
Heart_Attack,0.04801280866079472,0.09260377358490567,-0.044590964924110944,-92.8730606849961
Angina/Heart_Disease,0.049767311951471854,0.10781132075471699,-0.05804400880324513,-116.63078942226957
Stroke,0.03319394342316967,0.06120754716981132,-0.02801360374664165,-84.39372023237198
Asthma_(ever),0.12881043890119315,0.1341509433962264,-0.00534050449503326,-4.14601839772459
Asthma_(currently),0.08771336294221548,0.09445283018867924,-0.006739467246463765,-7.6835125463193625
Cancer_(not skin),0.08240264670361876,0.2147924528301887,-0.13238980612656992,-160.66207994840528
COPD_emphasema_chronic_bronchitis,0.06999524002470467,0.11260377358490566,-0.04260853356020099,-60.87347303211247
Arthritis_RA_gout_lupus_fibromyalgia,0.3067509038052265,0.48954716981132074,-0.18279626600609422,-59.59110918289646
Depression,0.19162637734409113,0.19852830188679246,-0.006901924542701332,-3.6017612180331477
Kidney_Disease,0.030751013953415184,0.06052830188679245,-0.029777287933377267,-96.83351572890241
Diabetes,0.13601334366628245,0.17332075471698113,-0.03730741105069868,-27.429228666148248
Smoker,0.8392937927561831,0.7326415094339622,0.10665228332222088,12.707383784167176
Days_at_least_1_drink_recently,3.676876354724374,4.793433962264151,-1.1165576075397774,-30.36701536360139
Binge_Drinking_last_30_days,0.39560508727277016,0.22252830188679246,0.1730767853859777,43.749888703185725
Chewing_tobacco,0.05329598785222834,0.03430188679245283,0.01899410105977551,35.63889483095744
Any_Excercise,0.7543970763523641,0.7636603773584906,-0.00926330100612649,-1.2279078613236543
Strength_Excercise,0.28766773012120234,0.2900754716981132,-0.002407741576910871,-0.8369870252379101
Aerobic_Excercise,0.530304520402985,0.6024150943396226,-0.07211057393663756,-13.597955733403863
Daily_Fruit_Juice,0.34630511835029487,0.3710516981132076,-0.024746579762912724,-7.145889116741566
Daily_Fruits,1.0035138058952884,1.047400754716981,-0.04388694882169264,-4.373327856963437
Daily_Beans,0.28150084774766626,0.27579245283018866,0.005708394917477599,2.027842886851457
Daily_Green_Veg,0.5765946113932565,0.5737743396226416,0.002820271770614946,0.4891255857907121
Daily_Orange_Veg,0.29246409365743126,0.31142188679245286,-0.018957793135021606,-6.482092518757954
Daily_Other_Veg,0.8049312163900505,0.8527845283018868,-0.04785331191183628,-5.945018771473227
BMI,28.243481626888745,27.516924528301885,0.7265570985868592,2.5724771052841886
Has_Health_Coverage,0.9289780215025,0.980188679245283,-0.051210657742782995,-5.512580121105177
Could_not_afford_to_see_doctor,0.09716250398303718,0.05528301886792453,0.04187948511511265,43.102517327490915
General_Health_Self_Rating,2.4665837932675854,2.5883396226415094,-0.12175582937392404,-4.9362129803273005
Poor_Mental_Health,3.2504101053095362,2.6820377358490566,0.5683723694604796,17.48617408406542
Poor_Physical_Health,3.85404184844396,4.908452830188679,-1.0544109817447191,-27.358576352003794
Kept_from_doing_activities,2.4447547825950124,2.9366415094339624,-0.49188672683894996,-20.120084449403603
Limited_Activities,0.22483212235890213,0.3238867924528302,-0.09905467009392807,-44.05716988064808
Uses_Special_Equipment,0.09469990519388048,0.15147169811320754,-0.05677179291932706,-59.94915496810409
Difficulty_Concentrating,0.08576216645751623,0.08622641509433962,-0.00046424863682338613,-0.5413210230100236
Difficulty_walking_climbing_stairs,0.14654823113810617,0.21169811320754717,-0.065149882069441,-44.4562732442974
Difficulty_Dressing,0.03562113743740239,0.04577358490566038,-0.01015244746825799,-28.501188335434414
Difficulty_Alone,0.06415738602612872,0.07547169811320754,-0.011314312087078823,-17.635244806375
Black_(Non-Hispanic),0.07984170131745101,0.0037358490566037736,0.07610585226084723,95.32093004663061
Hispanic,0.04641172606145482,0.011056603773584906,0.03535512228786991,76.17713299663838
Multiracial_(Non-Hispanic),0.08344512063193589,0.012226415094339622,0.07121870553759627,85.34795683468596
Other_race_only,0.02030267148696121,0.01030188679245283,0.010000784694508378,49.25846680290861
White_(Non-Hispanic),0.769998780502197,0.9626792452830188,-0.1926804647808218,-25.023476615788226
