,Model name,Threshold,Accuracy,True Positives,False Positive,FP Percent,True Negatives,False Negatives,FN Percent,Recall
0,heart_attack_imbalanced,0.5,0.9510658914728682,65722,807,1.2130048550256278,1020,2627,72.03180696462846,0.27968193035371536
1,heart_attack_imbalanced,0.45,0.9506383948928409,65512,1017,1.5286566760360145,1200,2447,67.09624348779819,0.3290375651220181
2,heart_attack_imbalanced,0.4,0.9500113999088007,65290,1239,1.86234574396128,1378,2269,62.215519605154924,0.37784480394845077
3,heart_attack_imbalanced,0.35,0.9486149110807114,65014,1515,2.277202423003502,1556,2091,57.33479572251166,0.42665204277488344
4,heart_attack_imbalanced,0.3,0.9464631782945736,64688,1841,2.767214297524388,1731,1916,52.53633123114889,0.4746366876885111
5,heart_attack_imbalanced,0.25,0.9428579571363429,64299,2230,3.351921718348389,1867,1780,48.80723882643269,0.5119276117356731
6,heart_attack_imbalanced,0.2,0.9380414956680346,63802,2727,4.0989643614063045,2026,1621,44.44749108856595,0.5555250891143405
7,heart_attack_imbalanced,0.15,0.9282233242134063,62948,3581,5.382615100181876,2191,1456,39.923224568138195,0.6007677543186181
8,heart_attack_imbalanced,0.1,0.904639762881897,61060,5469,8.220475281456208,2424,1223,33.534411845352345,0.6646558815464766
9,heart_attack_imbalanced,0.05,0.8298421112631099,55364,11165,16.78215515038555,2871,776,21.27776254455717,0.7872223745544283
10,heart_attack_RO,0.5,0.8631013451892385,57919,8610,12.941724661425843,2650,997,27.337537702221006,0.72662462297779
11,heart_attack_RO,0.45,0.8412705198358413,56278,10251,15.408318177035579,2759,888,24.34877981902934,0.7565122018097066
12,heart_attack_RO,0.4,0.8165042179662563,54422,12107,18.198079033203566,2877,770,21.113243761996163,0.7888675623800384
13,heart_attack_RO,0.35,0.7873774509803921,52278,14251,21.420733815328656,2977,670,18.371264052646012,0.8162873594735399
14,heart_attack_RO,0.3,0.7538474692202463,49811,16718,25.12889116024591,3091,556,15.24540718398684,0.8475459281601316
15,heart_attack_RO,0.25,0.7145747834017327,46955,19574,29.421755925987163,3191,456,12.50342747463669,0.8749657252536331
16,heart_attack_RO,0.2,0.6677211582307342,43579,22950,34.49623472470652,3279,368,10.090485330408555,0.8990951466959145
17,heart_attack_RO,0.15,0.6120611035111719,39572,26957,40.51917209036661,3380,267,7.321085823964903,0.926789141760351
18,heart_attack_RO,0.1,0.5348409712722298,34070,32459,48.78924980083873,3463,184,5.045242665204277,0.9495475733479573
19,heart_attack_RO,0.05,0.41035396716826267,25241,41288,62.06015421846113,3556,91,2.495201535508637,0.9750479846449136
20,heart_attack_SMOTE,0.5,0.9512083903328773,65670,859,1.2911662583234378,1082,2565,70.33177954483136,0.2966822045516863
21,heart_attack_SMOTE,0.45,0.9505956452348381,65450,1079,1.621849118429557,1259,2388,65.47847545928161,0.345215245407184
22,heart_attack_SMOTE,0.4,0.9497549019607843,65203,1326,1.9931157840941545,1447,2200,60.32355360570332,0.3967644639429668
23,heart_attack_SMOTE,0.35,0.9482444140446876,64944,1585,2.3824196966736313,1600,2047,56.12832465039759,0.4387167534960241
24,heart_attack_SMOTE,0.3,0.9465059279525764,64678,1851,2.7822453366201207,1744,1903,52.17987386893337,0.4782012613106663
25,heart_attack_SMOTE,0.25,0.9436702006383949,64341,2188,3.288791354146312,1882,1765,48.395941870030164,0.5160405812996984
26,heart_attack_SMOTE,0.2,0.9386969904240766,63854,2675,4.0208029581084945,2020,1627,44.61200987112696,0.5538799012887304
27,heart_attack_SMOTE,0.15,0.92843707250342,62957,3572,5.369087164995716,2197,1450,39.758705785577185,0.6024129421442281
28,heart_attack_SMOTE,0.1,0.9020177838577291,60828,5701,8.569195388477205,2472,1175,32.21826158486427,0.6778173841513573
29,heart_attack_SMOTE,0.05,0.8173734610123119,54403,12126,18.22663800748546,2957,690,18.919659994516042,0.8108034000548396
30,heart_attack_ADASYN,0.5,0.9514363885088919,65676,853,1.2821476348659984,1092,2555,70.05758157389636,0.29942418426103645
